id,linked order id,Type,service time,ORDERREFERENCE,labels,ACCOUNTNAME,location name,CUSTOMERCOMPANYNAME,CUSTOMERCONTACTNAME,location id,location zip code,location street,location city,location country,latitude,longitude,CUSTOMERMOBILE,CUSTOMERTELEPHONE,CUSTOMEREMAIL,volume,weight,capacity 1,QUANTITYUNIT1,capacity 2,QUANTITYUNIT2,capacity 3,absolute timewindows,time window type,description,tags,location counted as stop,location stop time,lifo group,DEFAULT TEMPERATURE,TASK ID,TIME_WINDOWS_V2
NSW_285970_P,NSW_285970_DEL,Pickup,1,RETAIL_KKB112940,METRO AREA 1 NSW,Koko Black,Chill NSW,**chill Nsw,**chill Nsw,NSW_46887,NSW 2100,**chill Nsw|2/128 Old Pittwater Rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,1.728,180,0,Items,1,Pallets,0,2025/05/19 14:00:00+00:00 - 2025/05/19 14:00:00+00:00,Service Arrival,Wine & Confectionery 12C to 18C\n.\n.\nHand unload 20/05/25\n0\n\nNA,Wine & Confectionery 12C to 18C - . - . - .,,10,,999,NSW_285970_P,1
NSW_285970_DEL,NSW_285970_P,Delivery,60,RETAIL_KKB112940,METRO AREA 1 NSW,Koko Black,"Koko Black,Westfield Sydney",Westfield Sydney,Westfield Sydney,NSW_41795_339,NSW 2000,Westfield Sydney |Loading Docks Via 135 King Street Height Clearance Of 3.1 Meters,SYDNEY,AU,-33.8689915,151.2087595,,,test2@test.com,1.728,180,0,Items,1,Pallets,0,2025/05/19 19:00:00+00:00 - 2025/05/19 22:00:00+00:00,Service Arrival,Wine & Confectionery 12C to 18C\n.\n.\nHand unload 20/05/25\n0\nRETAIL_KKB112940\nNA,Wine & Confectionery 12C to 18C - . - . - <3.1,TRUE,,,999,NSW_285970_DEL,1
NSW_285981_P,NSW_285981_DEL,Pickup,1,TOR436457,CANBERRA,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,0.741,433.645,93,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_285981_P,1
NSW_285981_DEL,NSW_285981_P,Delivery,15,TOR436457,CANBERRA,GREENCROSS,"GREENCROSS,",Petbarn Belconnen,,NSW_10041_181,ACT 2617,"Petbarn Belconnen |Shop Lg 6 & 7, Block 16, 2 Ibbott Lane ",BELCONNEN,AU,-35.2464729,149.0653792,,,test2@test.com,0.741,433.645,93,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_285981_DEL,1
NSW_285986_P,NSW_285986_DEL,Pickup,1,TOR436449,CANBERRA,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,0.53,361.738,74,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_285986_P,1
NSW_285986_DEL,NSW_285986_P,Delivery,15,TOR436449,CANBERRA,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Majura Park,Store Manager,NSW_3639_181,ACT 2609,"Petbarn Majura Park |Unit 2, 7-15 Mustang Avenue, ",MAJURA,AU,-35.2949616,149.190617,,,test2@test.com,0.53,361.738,74,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_285986_DEL,1
NSW_286000_P,NSW_286000_DEL,Pickup,1,TOR436441,CANBERRA,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,0.479,315.078,83,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286000_P,1
NSW_286000_DEL,NSW_286000_P,Delivery,15,TOR436441,CANBERRA,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Tuggeranong,Store Manager,NSW_3641_181,ACT 2900,"Petbarn Tuggeranong |Unit 1/215, Scollay Street, ",TUGGERANONG,AU,-35.422192,149.070012,,,test2@test.com,0.479,315.078,83,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286000_DEL,1
NSW_286086_P,NSW_286086_DEL,Pickup,1,Aldi PV Unsalted Butter 500g- First Production Samples - TAKE 2,METRO AREA 2 NSW,Fonterra,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,0.033,16,1,Items,0,Pallets,0,2025/05/19 22:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\nDo not leave at reception / Authority to leave: Yes\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286086_P,1
NSW_286086_DEL,NSW_286086_P,Delivery,0,Aldi PV Unsalted Butter 500g- First Production Samples - TAKE 2,METRO AREA 2 NSW,Fonterra,"Fonterra,",Aldi Stores,,NSW_46908_395,NSW 2770,Aldi Stores |1 Sargents Rd ,MINCHINBURY,AU,-33.78743,150.8199182,,,test3@test.com,0.033,16,1,Items,0,Pallets,0,2025/05/19 22:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\nDo not leave at reception / Authority to leave: Yes\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286086_DEL,1
NSW_286096_P,NSW_286096_DEL,Pickup,1,GRANZ STOCK - Order 15/05/25,METRO AREA 1 NSW,FEG SALES PTY LTD,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.08,120,8,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\nDELIVER ASAP\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_286096_P,1
NSW_286096_DEL,NSW_286096_P,Delivery,0,GRANZ STOCK - Order 15/05/25,METRO AREA 1 NSW,FEG SALES PTY LTD,"FEG SALES PTY LTD,Mike Brown",Mike Brown,Mike Brown,NSW_33974_210,NSW 2067,"Mike Brown |Shop 65, 436 Victoria Avenue ",CHATSWOOD,AU,-33.7974067,151.1807716,,,test3@test.com,0.08,120,8,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 05:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\nDELIVER ASAP\n0\nClosest access is from the corner of Thomas lane and Thomas street. Loading Zones available\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_286096_DEL,1
NSW_286103_P,NSW_286103_DEL,Pickup,1,TOR436682,METRO AREA 1 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.906,547.081,103,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_286103_P,1
NSW_286103_DEL,NSW_286103_P,Delivery,15,TOR436682,METRO AREA 1 NSW,GREENCROSS,"GREENCROSS,",Petbarn Surry Hills,,NSW_26668_181,NSW 2010,Petbarn Surry Hills |51 Foveaux Street 37,Surry Hills,AU,-33.8840788,151.209376,,,test3@test.com,0.906,547.081,103,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,"Frozen -18C to -20C\n\n.\n\n0\n12P Truck will fit, but 10P or smaller would be ideal.\nNA",Frozen minus 18C to minus 20C -  - . - <3.5,TRUE,,,999,NSW_286103_DEL,1
NSW_286104_P,NSW_286104_DEL,Pickup,1,TOR436673,METRO AREA 2 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.445,253.821,75,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286104_P,1
NSW_286104_DEL,NSW_286104_P,Delivery,15,TOR436673,METRO AREA 2 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Casula,Store Manager,NSW_3662_181,NSW 2170,"Petbarn Casula |Crossroads Homemaker Centre,Camden Valley Way ",CASULA,AU,-33.9591172,150.8814031,,,test3@test.com,0.445,253.821,75,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286104_DEL,1
NSW_286105_P,NSW_286105_DEL,Pickup,1,TOR436677,METRO AREA 1 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.254,159.68,38,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286105_P,1
NSW_286105_DEL,NSW_286105_P,Delivery,15,TOR436677,METRO AREA 1 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Rozelle,Store Manager,NSW_3679_181,NSW 2039,"Petbarn Rozelle |597 Darling St, ",ROZELLE,AU,-33.86056,151.171575,,,test3@test.com,0.254,159.68,38,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n\n.\n\n0\n\nNA,Chiller 0C to +4C -  - . - <3.5,TRUE,,,999,NSW_286105_DEL,1
NSW_286106_P,NSW_286106_DEL,Pickup,1,TOR436675,KIAMA & NOWRA,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.569,382.238,90,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286106_P,1
NSW_286106_DEL,NSW_286106_P,Delivery,15,TOR436675,KIAMA & NOWRA,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Nowra,Store Manager,NSW_3676_181,NSW 2541,"Petbarn Nowra |104 Worrigee Street, ",NOWRA,AU,-34.8770629,150.604815,,,test3@test.com,0.569,382.238,90,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286106_DEL,1
NSW_286107_P,NSW_286107_DEL,Pickup,1,TOR436679,METRO AREA 2 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.234,155.458,41,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_286107_P,1
NSW_286107_DEL,NSW_286107_P,Delivery,15,TOR436679,METRO AREA 2 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Narrabeen,Store Manager,NSW_3672_181,NSW 2101,"Petbarn Narrabeen |1416 Pittwater Road, ",NARRABEEN,AU,-33.7006266,151.2999057,,,test3@test.com,0.234,155.458,41,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - <3.2,TRUE,,,999,NSW_286107_DEL,1
NSW_286108_P,NSW_286108_DEL,Pickup,1,TOR436671,METRO AREA 2 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.272,135.278,56,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286108_P,1
NSW_286108_DEL,NSW_286108_P,Delivery,15,TOR436671,METRO AREA 2 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Wetherill Park,Store Manager,NSW_3686_181,NSW 2164,"Petbarn Wetherill Park |Unit 63, 1183-1187 The Horsley Drive, ",WETHERILL PARK,AU,-33.84933,150.89793,,,test3@test.com,0.272,135.278,56,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286108_DEL,1
NSW_286109_P,NSW_286109_DEL,Pickup,1,TOR436680,WOLLONGONG & SHELLHARBOUR,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.591,387.5,86,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286109_P,1
NSW_286109_DEL,NSW_286109_P,Delivery,15,TOR436680,WOLLONGONG & SHELLHARBOUR,GREENCROSS,"GREENCROSS,",Petbarn Shellharbour,,NSW_3932_181,NSW 2529,Petbarn Shellharbour |5/5 Range Road ,Shellharbour City Centre,AU,-34.5647372,150.8304077,,,test3@test.com,0.591,387.5,86,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286109_DEL,1
NSW_286110_P,NSW_286110_DEL,Pickup,1,TOR436674,METRO AREA 2 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.252,160.238,42,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286110_P,1
NSW_286110_DEL,NSW_286110_P,Delivery,15,TOR436674,METRO AREA 2 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Menai,Store Manager,NSW_3670_181,NSW 2234,"Petbarn Menai |Shop C106 + C107 Menai Central,5 Carter Road ",MENAI,AU,-34.016817,151.011673,,,test3@test.com,0.252,160.238,42,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286110_DEL,1
NSW_286111_P,NSW_286111_DEL,Pickup,1,TOR436678,METRO AREA 1 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.293,181.148,58,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_286111_P,1
NSW_286111_DEL,NSW_286111_P,Delivery,15,TOR436678,METRO AREA 1 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Neutral Bay,Store Manager,NSW_3673_181,NSW 2089,"Petbarn Neutral Bay |1/20 Young Street, ",NEUTRAL BAY,AU,-33.8302122,151.2211177,,,test3@test.com,0.293,181.148,58,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Frozen -18C to -20C\nVan\n.\n\n0\n\nNA,Frozen minus 18C to minus 20C - Van - . - .,TRUE,,,999,NSW_286111_DEL,1
NSW_286112_P,NSW_286112_DEL,Pickup,1,TOR436670,HUNTER VALLEY,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.755,523.841,96,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286112_P,1
NSW_286112_DEL,NSW_286112_P,Delivery,15,TOR436670,HUNTER VALLEY,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Rutherford,Store Manager,NSW_3653_181,NSW 2320,"Petbarn Rutherford |Unit 4 Hunter Supa Centre,New England Highway ",RUTHERFORD,AU,-32.710447,151.512553,,,test3@test.com,0.755,523.841,96,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286112_DEL,1
NSW_286113_P,NSW_286113_DEL,Pickup,1,TOR436676,HUNTER VALLEY,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.754,498.8,82,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286113_P,1
NSW_286113_DEL,NSW_286113_P,Delivery,15,TOR436676,HUNTER VALLEY,GREENCROSS,"GREENCROSS,Store Manager",Petbarn Singleton,Store Manager,NSW_3681_181,NSW 2330,"Petbarn Singleton |Unit 17B Rosepoint Centre,21 Ryan Avenue ",SINGLETON,AU,-32.5687674,151.1628049,,,test3@test.com,0.754,498.8,82,Items,0,Pallets,0,2025/05/19 22:30:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286113_DEL,1
NSW_286114_P,NSW_286114_DEL,Pickup,1,TOR436672,METRO AREA 1 NSW,GREENCROSS,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test3@test.com,0.177,103.212,43,Items,0,Pallets,0,2025/05/19 17:30:00+00:00 - 2025/05/20 13:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,,10,,999,NSW_286114_P,1
NSW_286114_DEL,NSW_286114_P,Delivery,15,TOR436672,METRO AREA 1 NSW,GREENCROSS,"GREENCROSS,Store Manager",Petbarn South Strathfield,Store Manager,NSW_3682_181,NSW 2136,"Petbarn South Strathfield |600 Liverpool Rd, ",STRATHFIELD SOUTH,AU,-33.888502,151.074989,,,test3@test.com,0.177,103.212,43,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:00:00+00:00,Service Arrival,Chiller 0C to +4C\n.\n.\n\n0\n\nNA,Chiller 0C to +4C - . - . - .,TRUE,,,999,NSW_286114_DEL,1
