"Customer Name","Consignment Reference","Delivery Address","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Consignment Required Delivery Date"
"Canine Country",4270,"Aussie Pooch Nutrition & Wellbeing, , C/o Neil Mansell Transport, 325 Orchard Road, RICHLANDS, , ",2025-05-12,"2025-05-12 13:44:43","METRO 1",0,1,0,1.647,892,2025-05-12
"Canine Country",4271,"Currumbin Creek Stockfeeds, , 68 Currumbin Creek Rd, CURRUMBIN, , ",2025-05-12,"2025-05-12 11:19:38","GOLD COAST",0,1,0,0.782,442,2025-05-12
"Canine Country",4272,"Pets Wonderland, , 1/109 Currumbin Creek Rd, CURRUMBIN WATERS, , ",2025-05-12,"2025-05-12 11:21:44","GOLD COAST",0,1,0,1.338,731,2025-05-12
"Canine Country",4273,"Oxenford Stockfeeds, , Shop1, 141 Old Pacific Highway, OXENFORD, , ",2025-05-12,"2025-05-13 05:15:38","GOLD COAST",10,0,0,0.206,108,2025-05-12
"Canine Country",4274,"Caloundra Produce & Landscape Supplies, , 51 Pierce Ave, LITTLE MOUNTAIN, , ",2025-05-13,"2025-05-13 10:41:54","SUNSHINE COAST",0,1,0,1.256,662,2025-05-13
"Canine Country",4275,"Feed & Fodder, , 31 Moroney Place, BEERWAH, , ",2025-05-13,"2025-05-13 09:41:41","SUNSHINE COAST",19,0,0,0.391,218,2025-05-13
"Canine Country",4276,"Greenpet, , 244 Verrierdale Rd, VERRIERDALE, , ",2025-05-13,"2025-05-13 14:07:44","SUNSHINE COAST",0,1,0,0.762,420,2025-05-13
"Canine Country",4277,"Doggyland, , Unit 2/16 Hideaway St, BIRTINYA, , ",2025-05-13,"2025-05-13 11:11:40","SUNSHINE COAST",17,0,0,0.35,194,2025-05-13
"Canine Country",4283,"Park Ridge Produce, , 3688 Mt Lindsay Highway, PARK RIDGE, , ",2025-05-14,"2025-05-14 11:09:37","METRO 2",0,1,0,0.453,257,2025-05-14
"Canine Country",4286,"Bongaree Pet Food, , Shop 2, 75 Cotterill Ave, BRIBIE ISLAND, , ",2025-05-13,"2025-05-13 12:21:42","SUNSHINE COAST",15,0,0,0.309,152,2025-05-13
"Canine Country",4288,"Redlands Produce, , 87 Boundary Rd, THORNLANDS, , ",2025-05-13,"2025-05-13 15:33:38",BAYSIDE,17,0,0,0.35,190,2025-05-13
"Canine Country",4289,"Capalaba Produce, , 3247 Old Cleveland Road, CHANDLER, , ",2025-05-13,"2025-05-13 14:11:40",BAYSIDE,13,0,0,0.268,150,2025-05-13
"Canine Country",4290,"Buckhams Produce, , Cnr Mt Lindsay Hwy & St Aldwyn Rd, NORTH MACLEAN, , ",2025-05-14,"2025-05-14 11:45:37","METRO 2",0,1,0,0.535,317,2025-05-14
"Canine Country",4291,"Gleneagle Produce, , 6457 Mt Lindsay Hwy, GLENEAGLE, , ",2025-05-14,"2025-05-14 12:19:39","METRO 3",6,0,0,0.124,77,2025-05-14
"Canine Country",4292,"Marsden Pet & Produce, , 11 Chambers Flat Road, LOGANLEA, , ",2025-05-14,"2025-05-14 10:33:39","METRO 2",13,0,0,0.268,157,2025-05-14
"Canine Country",4295,"Pets Of Sandgate, , 76 Louden St, SANDGATE, , ",2025-05-13,"2025-05-13 13:35:47","METRO 2",19,0,0,0.391,214,2025-05-13
"Canine Country",4296,"Gold Coast Pet Centre, , 4/110 Kortum Dve, BURLEIGH HEADS, , ",2025-05-14,"2025-05-14 14:19:39","GOLD COAST",13,0,0,0.268,136,2025-05-14
"Canine Country",4297,"Pets Unleashed, , 630 Wynnum Rd, MORNINGSIDE, , ",2025-05-14,"2025-05-14 15:57:38","METRO 1",9,0,0,0.185,101,2025-05-14
"Canine Country",4298,"K9 Tales, , 127 Mooloolah Meadows Drive, DIAMOND VALLEY (MOOLOOLAH VALLEY), , ",2025-05-15,"2025-05-15 10:07:39","SUNSHINE COAST",19,0,0,0.391,228,2025-05-15
"Canine Country",4300,"Jimboomba Produce, , 11 Euphemia St, JIMBOOMBA, , ",2025-05-15,"2025-05-15 15:17:39","METRO 2",11,0,0,0.227,135,2025-05-15
"Canine Country",4301,"Whiskey River Animal Health, , 262 Boyds Lane, DULGUIGAN, , ",2025-05-16,"2025-05-16 16:09:36","NORTHERN RIVERS",15,0,0,0.309,172,2025-05-16
"Canine Country",4302,"Acacia Pet Supplies & Produce, , 96 Sherbrooke Road, WILLAWONG, , ",2025-05-15,"2025-05-15 10:45:39","METRO 1",12,0,0,0.247,144,2025-05-15
"Mama Ka'z",44066,"Markris Whole Food, , 81 Rene St., NOOSAVILLE, , ",2025-05-12,"2025-05-12 08:07:46","SUNSHINE COAST",0,1,1,1,700,2025-05-09
"Sunshine Coast Organic Meats","45790 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-13,"2025-05-13 13:03:40","SUNSHINE COAST",0,1,0,1.764,113,
"Sunshine Coast Organic Meats","45792 - 2 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 15:25:39","SUNSHINE COAST",3,0,0,0,30,
"Sunshine Coast Organic Meats","45792 - 3 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 15:25:37","SUNSHINE COAST",2,0,0,0,20,
"Made Group (QLD)",530258,"Fresh & Save Hervey Bay, , 6 Central Ave, PIALBA, , ",2025-05-13,"2025-05-13 11:15:38","HERVEY BAY",0,1,0,1.764,150,
"Made Group (QLD)",530259,"Fresh & Save Maryborough, , 270 Alice Street, 1, MARYBOROUGH, , ",2025-05-13,"2025-05-13 12:25:37","HERVEY BAY",0,1,0,1.764,150,
"Made Group (QLD)",530260,"Fresh & Save, , 100 Jessie St, ARMIDALE, , ",2025-05-12,"2025-05-14 06:03:13","NORTHERN NSW",0,1,0,1.764,200,
"Made Group (QLD)",531456,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-16 06:27:21","METRO 2",0,1,0,1.764,450,
"Made Group (QLD)",531457,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 07:47:47","METRO 2",0,1,0,1.764,350,
"Made Group (QLD)",531462,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 07:47:44","METRO 2",0,3,0,5.293,2500,
"Made Group (QLD)",531462,"Fresh & Save Grafton, , 52-74 Fitzroy Street, GRAFTON, , ",2025-05-16,"2025-05-16 11:15:41","NORTHERN RIVERS",0,3,0,5.293,2500,
"Made Group (QLD)",531609,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-16 08:05:37","METRO 2",0,1,1,0.5,60,
"Made Group (QLD)",531610,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-16 08:05:38","METRO 2",0,1,1,0.5,120,
"Country Chef","7 Eleven NPD Slices 080525","** 7-Eleven Head Office, , 658 Church Street, Building 2, Cremorne, , ",2025-05-08,"2025-05-12 08:23:27","METRO 1",1,0,0,0,10,2025-05-09
"Bulla Australia",80564624,"Secondbite, , 93 Northern Road, HEIDELBERG WEST, , 1034030",2025-05-14,"2025-05-13 08:00:40","Warehouse Outbound",0,1,0,1.764,250,
"Bulla Australia",80565734,"Hoyts Qld Redcliffe 8 S, , Peninsula Fair Shopping Centre, 272 Anzac Avenue, KIPPA-RING, , 1019910",2025-05-13,"2025-05-13 10:43:38","METRO 2",9,0,0,0.135,26.488,
"Bulla Australia",80565735,"Hoyts Qld Stafford, , City Centre Shopping Centre, 400 Stafford Road, STAFFORD, , 1034110",2025-05-13,"2025-05-13 14:53:45","METRO 1",14,0,0,0.27,53.897,
"Bulla Australia",80565736,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",2025-05-13,"2025-05-13 16:15:38","METRO 1",13,0,0,0.243,49.152,
"Bulla Australia",80566023,"Limelight Ipswich Pty Ltd, , Crn Downs St & The Terrace, IPSWICH, , 1034346",2025-05-14,"2025-05-14 15:07:42","METRO 2",7,0,0,0.189,39.342,
"Bulla Australia",80566558,"Hoyts Qld Tweed Heads, , Tweed City Shopping Centre, 54 Minijumbal Drive, TWEED HEADS SOUTH, , 1034244",2025-05-16,"2025-05-16 15:11:37","NORTHERN RIVERS",8,0,0,0.216,44.087,
"Bulla Australia",80566559,"Hoyts Qld Sunnybank, , Cnr Mains Street & Mccullough Street, SUNNYBANK, , 1034112",2025-05-16,"2025-05-16 13:30:37","METRO 1",6,0,0,0.162,33.516,
"Aussie Pooch",85467,"Aussie Pooch Wllness & Wellbeing, , 38 Bishop St, WOOLNER, , ",2025-05-15,"2025-05-19 11:14:06",NT,0,1,0,2.032,555,
"Jacobs Douwe Egberts",9278355413,"Coffee Of Capricorn, , 57 Tanby Road, YEPPOON, , ",2025-05-07,"2025-05-12 08:11:00",ROCKHAMPTON,0,1,0,1.764,100,
"Jacobs Douwe Egberts",9278356542,"Silk Contract Logistics, , 37 Freight Street, LYTTON, , ",2025-05-14,"2025-05-14 13:35:44","METRO 1",0,1,0,1.764,116,
"Jacobs Douwe Egberts",9278356565,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 14:35:52","METRO 1",0,1,0,1.764,200,
"Jacobs Douwe Egberts",9278356565,"Coffee Of Capricorn, , 57 Tanby Road, YEPPOON, , ",2025-05-16,"2025-05-19 11:14:05",ROCKHAMPTON,0,1,0,1.764,200,
"Aqua Blue Distribution","ABD QLD to NSW Stock 14.05.2025","Chill Nsw, Chill Nsw, 128 Old Pittwater Road, 2, BROOKVALE, , ",2025-05-14,"2025-05-15 05:50:36","QLD to NSW Shuttle",0,1,0,0.416,65,
"Aqua Blue Distribution","ABD QLD to VIC Stock 14.05.2025","*CHILL VIC, , 2/22 Assembly Drive, DANDENONG SOUTH, , ",2025-05-14,"2025-05-15 06:55:13","QLD to NSW Shuttle",0,1,0,0.96,150,
"Acai Flow",Acai/Adel-41,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,
"Acai Flow",Acai/Per75,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,
Bomberry,"All good foods 08.05 T2","All Good Foods, , Unit 1 16-18 Towers Drive, MULLUMBIMBY, , ",2025-05-16,"2025-05-16 15:05:37","NORTHERN RIVERS",0,1,1,1.07,170,
"FEG (NSW)","AMRUN RETAIL AU664310 | PO3535324 | - Sodexo Order 06/05/25","Cannon Logistics, , 19 Trade Street, LYTTON, , ",2025-05-12,"2025-05-12 07:41:33","METRO 1",20,0,0,0.2,78.4,2025-05-10
"FEG (NSW)","AMRUN RETAIL AU664310 | PO3535324 | - Sodexo Order 06/05/25 T2","Cannon Logistics, , 19 Trade Street, LYTTON, , ",2025-05-15,"2025-05-15 14:17:37","METRO 1",20,0,0,0.2,78.4,2025-05-10
"Butter Boy","Angus Sample Boxes 13.05","Angus Sample Boxes, , 24 Octal St, YATALA, , ",2025-05-14,"2025-05-15 06:55:14","Warehouse Outbound",2,0,0,0.054,8,2025-05-14
Bomberry,"Belinda & Leigh bonello 08.05","Belinda & Leigh Bonello, , 12/26 Palm Avenue, SURFERS PARADISE, , ",2025-05-09,"2025-05-12 08:22:24","GOLD COAST",2,0,0,0.02,4,
"Butter Boy","Blackbird Espresso 14.05","Blackbird Espresso, , 4 Newman Avenue, CAMP HILL, , ",2025-05-16,"2025-05-16 11:05:43","METRO 1",2,0,0,0.054,8,
"BLC International - Australian Fundraising",BLC007,"Chill Nsw, Chill Nsw, 128 Old Pittwater Road, 2, BROOKVALE, , ",2025-05-09,"2025-05-12 08:23:27","QLD to NSW Shuttle",0,2,1,3.529,650,2025-05-10
"Gourmet Dinner Service (NSW)","Brisbane-Sydney -  stock transfer 14.05","Brenton/chill, , 2/128 Old Pittwater Road, BROOKVALE, , ",2025-05-16,"2025-05-19 07:51:38","QLD to NSW Shuttle",4,0,0,0.292,72,2025-05-19
"Pasta Poetry","Broc Pasta 15.05.25","Chill Qld, , 24 Octal St, YATALA, , ",2025-05-16,"2025-05-19 11:14:05","Warehouse Inbound",0,1,0,1.75,650,
"Butter Boy","Butterboy Wholesale QLD -  13.05.2025","Chill Qld, , 24 Octal Street, YATALA, , ",2025-05-14,"2025-05-15 06:55:13","Warehouse Inbound",16,0,0,0.432,64,
"Butter Boy","Butterboy Wholesale QLD -  15.05.25","Chill Qld, , 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-19 11:14:04","Warehouse Inbound",16,0,0,0.432,64,
"Acai Flow",CAFE6834,"Kunara Organic Market  Doca, , 330 Mons Road, FOREST GLEN, , ",2025-05-15,"2025-05-15 15:15:40","SUNSHINE COAST",3,0,0,0,36,
"Butter Boy","Castaway Coffee Bar 13.05","Castaway Coffee Bar, , G1/84 The Esplanade, SURFERS PARADISE, , ",2025-05-14,"2025-05-14 11:05:46","GOLD COAST",1,0,0,0.027,4,2025-05-14
"CHILL (SYD) PROMO","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-12 08:34:59",DEFAULT,104,0,0,0,145.6,
"Butter Boy","Collingwood Black 14.05","Collingwood Black, , 35 Collingwood St, ALBION, , ",2025-05-16,"2025-05-16 14:03:38","METRO 1",2,0,0,0.054,8,
"Kilcoy Global Foods","COOMINYA Burger  - Ben McGuire VIC","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-12 13:30:52",DEFAULT,10,0,0,0,0,
"Kilcoy Global Foods","COOMINYA Burger  - Ben McGuire VIC","Ben Mcguire, , Kgf - Lot 4 Knight Ct, Kyneton Vic 3444, KYNETON, , ",2025-05-14,"2025-05-19 11:14:32","QLD to NSW Shuttle",10,0,0,0,0,
"Kilcoy Global Foods","COOMINYA Burger - Ben McGuire VIC T2","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-13,"2025-05-13 11:17:42",DEFAULT,10,1,0,1.764,0,
"Kilcoy Global Foods","COOMINYA Burger - KGF Corbould Park","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-12 13:30:49",DEFAULT,7,0,0,0,0,
"Kilcoy Global Foods","COOMINYA Burger - KGF Corbould Park","Karien Mocke, , Kgf - 6/14 Fred Chaplin Circuit, CORBOULD PARK, , ",2025-05-15,"2025-05-15 12:05:46","SUNSHINE COAST",7,0,0,0,0,
"Kilcoy Global Foods","COOMINYA Burger - KGF Corbould Park T2","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-13,"2025-05-13 11:15:41",DEFAULT,7,1,0,1.764,0,
"Coles Local","CS ADELAIDE STREET 14-05-2025","Coles Local Adelaide Street, , 79 Adelaide Street, BRISBANE CITY, , ",2025-05-14,"2025-05-14 08:03:51","METRO 1",153,0,0,7.344,1181.67,
"Coles Local","CS ADELAIDE STREET 16-05-2025","Coles Local Adelaide Street, , 79 Adelaide Street, BRISBANE CITY, , ",2025-05-16,"2025-05-16 10:27:39","METRO 1",198,0,0,9.504,551.74,
"Coles Local","CS ASCOT 14-05-2025","Coles Local Ascot, , 111-117 Racecourse Rd, ASCOT, , ",2025-05-14,"2025-05-14 09:55:48","METRO 1",225,0,0,10.8,1248.83,
"Coles Local","CS ASCOT 16-05-2025","Coles Local Ascot, , 111-117 Racecourse Rd, ASCOT, , ",2025-05-16,"2025-05-16 14:59:37","METRO 1",169,0,0,8.112,467.848,
"Coles Local","CS COORPAROO 14-05-2025","Coles Coorparoo, , 252 Old Cleveland Road, COORPAROO, , ",2025-05-14,"2025-05-14 08:03:46","METRO 1",153,0,0,7.344,1174,
"Coles Local","CS COORPAROO 16-05-2025","Coles Coorparoo, , 252 Old Cleveland Road, COORPAROO, , ",2025-05-16,"2025-05-16 15:57:39","METRO 1",249,0,0,11.952,651,
"Coles Local","CS TARINGA 14-05-2025","Coles Taringa, , 10 Swann Road, TARINGA, , ",2025-05-14,"2025-05-14 12:15:50","METRO 1",244,0,0,11.712,1455.27,
"Coles Local","CS TARINGA 16-05-2025","Coles Taringa, , 10 Swann Road, TARINGA, , ",2025-05-16,"2025-05-16 11:49:43","METRO 1",203,0,0,9.744,610.505,
"Coles Local","CS WOOLLOONGABBA 14-05-2025","Coles Local Woolloongabba, , Cnr Ipswich Rd & Stanley St, WOOLLOONGABBA, , ",2025-05-14,"2025-05-14 08:55:44","METRO 1",179,0,0,8.592,1178.38,
"Coles Local","CS WOOLLOONGABBA 16-05-2025","Coles Local Woolloongabba, , Cnr Ipswich Rd & Stanley St, WOOLLOONGABBA, , ",2025-05-16,"2025-05-16 15:57:37","METRO 1",254,0,0,12.192,690.545,
"Butter Boy","Daark Espresso 13.05","Daark Espresso, , 2/41 Musgrave Avenue, LABRADOR, , ",2025-05-14,"2025-05-14 11:05:43","GOLD COAST",2,0,0,0.054,8,2025-05-14
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 10","Bec Hardgrave, , 36a Coombell Street, JINDALEE, , ",2025-05-12,"2025-05-12 10:47:38","METRO 1",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 11","Claire Bates, , Unit 2/15 Neumann Road, CAPALABA, , ",2025-05-12,"2025-05-12 12:37:37",BAYSIDE,1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 12","Claudia Cramer, , 42 Koel Drive, NARANGBA, , ",2025-05-12,"2025-05-12 13:07:37","METRO 2",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 13","Hanah Mils, , 1/1900 Gold Coast Hwy, BURLEIGH HEADS, , ",2025-05-12,"2025-05-13 05:37:35","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 14","Peta Carige, , 36 Henry Street, KALINGA, , ",2025-05-12,"2025-05-12 14:29:36","METRO 1",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 15","Sophie Rindfleish, , 4/303 Wynnum Road, NORMAN PARK, , ",2025-05-12,"2025-05-12 15:51:36","METRO 1",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 43","Adam Sullivan / John Williams, , 3/2 Saxonvale Terrace, MERMAID WATERS, , ",2025-05-12,"2025-05-13 05:37:37","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 44","Bec Putna, , 8/21 Burleigh Street, BURLEIGH HEADS, , ",2025-05-12,"2025-05-12 13:27:45","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 45","Erin Rummins, , Hammond Towers, Unit 24/72 Marine Parade, SOUTHPORT, , ",2025-05-12,"2025-05-12 15:09:37","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 46","Jesse Campbell, , 41306/2 Main Street, VARSITY LAKES, , ",2025-05-12,"2025-05-12 10:17:47","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL (SYD) PROMO","Dairy Farmers Protein Smoothie 50","Jaz Hand, , 4/221 Burleigh Connection Road, BURLEIGH WATERS, , ",2025-05-12,"2025-05-12 13:07:42","GOLD COAST",1,0,0,0.01,2,2025-05-12
"CHILL NSW","DURGAS SHIPMENT 3","Yash Solanki, , Shop 11/2120 Logan Road. Business Name: Durga's Paan & Falooda House, UPPER MOUNT GRAVATT, , ",2025-05-14,"2025-05-14 15:01:53","METRO 1",3,0,0,0.146,45,
"Durgas Franchise","DURGAS SHIPMENT 4","Yash Solanki, , Shop 11/2120 Logan Road. Business Name: Durga's Paan & Falooda House, UPPER MOUNT GRAVATT, , ",2025-05-16,"2025-05-16 15:05:39","METRO 1",3,0,0,0.146,30,
